"time","ID","variable","value"
1970,"4Vn","Biomass",365765200.3
1971,"4Vn","Biomass",263962080
1972,"4Vn","Biomass",186734471.1
1973,"4Vn","Biomass",541523903.6
1974,"4Vn","Biomass",93513179.83
1975,"4Vn","Biomass",84260382.57
1976,"4Vn","Biomass",62954286.25
1977,"4Vn","Biomass",94670374.04
1978,"4Vn","Biomass",65077708.12
1979,"4Vn","Biomass",90543230.14
1980,"4Vn","Biomass",82286060.66
1981,"4Vn","Biomass",110682776.9
1982,"4Vn","Biomass",87308768.06
1983,"4Vn","Biomass",101799356.9
1984,"4Vn","Biomass",163995350.4
1985,"4Vn","Biomass",154165348.2
1986,"4Vn","Biomass",107200110.3
1987,"4Vn","Biomass",1720665791
1988,"4Vn","Biomass",163302125.5
1989,"4Vn","Biomass",228048547.2
1990,"4Vn","Biomass",111431516.5
1991,"4Vn","Biomass",279807792.1
1992,"4Vn","Biomass",88242899.25
1993,"4Vn","Biomass",82520149.93
1994,"4Vn","Biomass",401581790.9
1995,"4Vn","Biomass",186009458.5
1996,"4Vn","Biomass",290344413.2
1997,"4Vn","Biomass",82644171.36
1998,"4Vn","Biomass",276996034.2
1999,"4Vn","Biomass",400370727.1
2000,"4Vn","Biomass",57763150.46
2001,"4Vn","Biomass",841978309.4
2002,"4Vn","Biomass",89960007.6
2003,"4Vn","Biomass",97539871.69
2004,"4Vn","Biomass",49285999.57
2005,"4Vn","Biomass",172561052.9
2006,"4Vn","Biomass",162458335.4
2007,"4Vn","Biomass",78823967.21
2008,"4Vn","Biomass",54111887.43
2009,"4Vn","Biomass",205553447.4
2010,"4Vn","Biomass",80206638.48
2011,"4Vn","Biomass",186560811.9
2012,"4Vn","Biomass",81161679.85
2013,"4Vn","Biomass",270565809.3
2014,"4Vn","Biomass",91874969.57
2015,"4Vn","Biomass",124777389.6
1970,"4Vn","Biomass_s",0.577494909
1971,"4Vn","Biomass_s",0.202491706
1972,"4Vn","Biomass_s",-0.081984845
1973,"4Vn","Biomass_s",1.224921788
1974,"4Vn","Biomass_s",-0.425375918
1975,"4Vn","Biomass_s",-0.459459634
1976,"4Vn","Biomass_s",-0.537943028
1977,"4Vn","Biomass_s",-0.421113264
1978,"4Vn","Biomass_s",-0.530121165
1979,"4Vn","Biomass_s",-0.436316061
1980,"4Vn","Biomass_s",-0.46673227
1981,"4Vn","Biomass_s",-0.362129784
1982,"4Vn","Biomass_s",-0.448230565
1983,"4Vn","Biomass_s",-0.394852857
1984,"4Vn","Biomass_s",-0.165746945
1985,"4Vn","Biomass_s",-0.201956859
1986,"4Vn","Biomass_s",-0.374958576
1987,"4Vn","Biomass_s",5.56842307
1988,"4Vn","Biomass_s",-0.168300516
1989,"4Vn","Biomass_s",0.070200184
1990,"4Vn","Biomass_s",-0.359371717
1991,"4Vn","Biomass_s",0.260861163
1992,"4Vn","Biomass_s",-0.444789588
1993,"4Vn","Biomass_s",-0.465869976
1994,"4Vn","Biomass_s",0.709429334
1995,"4Vn","Biomass_s",-0.08465551
1996,"4Vn","Biomass_s",0.299673987
1997,"4Vn","Biomass_s",-0.465413129
1998,"4Vn","Biomass_s",0.250503737
1999,"4Vn","Biomass_s",0.704968245
2000,"4Vn","Biomass_s",-0.557065158
2001,"4Vn","Biomass_s",2.331679262
2002,"4Vn","Biomass_s",-0.438464427
2003,"4Vn","Biomass_s",-0.410543148
2004,"4Vn","Biomass_s",-0.588291693
2005,"4Vn","Biomass_s",-0.13419422
2006,"4Vn","Biomass_s",-0.171408712
2007,"4Vn","Biomass_s",-0.479485279
2008,"4Vn","Biomass_s",-0.570514994
2009,"4Vn","Biomass_s",-0.012663037
2010,"4Vn","Biomass_s",-0.474392055
2011,"4Vn","Biomass_s",-0.082624538
2012,"4Vn","Biomass_s",-0.470874053
2013,"4Vn","Biomass_s",0.226817283
2014,"4Vn","Biomass_s",-0.43141045
2015,"4Vn","Biomass_s",-0.310210698
1970,"4Vn","BiomassClupeids",285074513.9
1971,"4Vn","BiomassClupeids",100032277.9
1972,"4Vn","BiomassClupeids",90963460
1973,"4Vn","BiomassClupeids",490957582.3
1974,"4Vn","BiomassClupeids",904005.5138
1975,"4Vn","BiomassClupeids",36360697.92
1976,"4Vn","BiomassClupeids",53417373.07
1977,"4Vn","BiomassClupeids",37133224.75
1978,"4Vn","BiomassClupeids",987900.3543
1979,"4Vn","BiomassClupeids",43333002.73
1980,"4Vn","BiomassClupeids",444589.3887
1981,"4Vn","BiomassClupeids",68381046.27
1982,"4Vn","BiomassClupeids",12169679.34
1983,"4Vn","BiomassClupeids",34396602.7
1984,"4Vn","BiomassClupeids",70867349.04
1985,"4Vn","BiomassClupeids",29347814.65
1986,"4Vn","BiomassClupeids",8603285.952
1987,"4Vn","BiomassClupeids",1634605141
1988,"4Vn","BiomassClupeids",3597755.87
1989,"4Vn","BiomassClupeids",65828487.12
1990,"4Vn","BiomassClupeids",402894.8474
1991,"4Vn","BiomassClupeids",182396917.2
1992,"4Vn","BiomassClupeids",26570471.69
1993,"4Vn","BiomassClupeids",16585118.18
1994,"4Vn","BiomassClupeids",342683629
1995,"4Vn","BiomassClupeids",73110226.81
1996,"4Vn","BiomassClupeids",83798228.58
1997,"4Vn","BiomassClupeids",441513.2166
1998,"4Vn","BiomassClupeids",5074971.967
1999,"4Vn","BiomassClupeids",295550553.3
2000,"4Vn","BiomassClupeids",14617711.88
2001,"4Vn","BiomassClupeids",778096917.2
2002,"4Vn","BiomassClupeids",24231985.28
2003,"4Vn","BiomassClupeids",42127435.68
2004,"4Vn","BiomassClupeids",7773362.524
2005,"4Vn","BiomassClupeids",114298081.6
2006,"4Vn","BiomassClupeids",122268435.5
2007,"4Vn","BiomassClupeids",14547331.86
2008,"4Vn","BiomassClupeids",12909213.18
2009,"4Vn","BiomassClupeids",68154262.55
2010,"4Vn","BiomassClupeids",16965153.96
2011,"4Vn","BiomassClupeids",103567841.9
2012,"4Vn","BiomassClupeids",44723045.34
2013,"4Vn","BiomassClupeids",243811867.1
2014,"4Vn","BiomassClupeids",51269313.23
2015,"4Vn","BiomassClupeids",53263657.4
1970,"4Vn","BiomassClupeids_s",0.588914567
1971,"4Vn","BiomassClupeids_s",-0.097134003
1972,"4Vn","BiomassClupeids_s",-0.130756865
1973,"4Vn","BiomassClupeids_s",1.352231028
1974,"4Vn","BiomassClupeids_s",-0.464654473
1975,"4Vn","BiomassClupeids_s",-0.333197927
1976,"4Vn","BiomassClupeids_s",-0.269959891
1977,"4Vn","BiomassClupeids_s",-0.330333765
1978,"4Vn","BiomassClupeids_s",-0.464343431
1979,"4Vn","BiomassClupeids_s",-0.307347938
1980,"4Vn","BiomassClupeids_s",-0.466357769
1981,"4Vn","BiomassClupeids_s",-0.214481711
1982,"4Vn","BiomassClupeids_s",-0.422886714
1983,"4Vn","BiomassClupeids_s",-0.340479858
1984,"4Vn","BiomassClupeids_s",-0.205263683
1985,"4Vn","BiomassClupeids_s",-0.359198362
1986,"4Vn","BiomassClupeids_s",-0.436109204
1987,"4Vn","BiomassClupeids_s",5.592332043
1988,"4Vn","BiomassClupeids_s",-0.454667328
1989,"4Vn","BiomassClupeids_s",-0.223945385
1990,"4Vn","BiomassClupeids_s",-0.466512353
1991,"4Vn","BiomassClupeids_s",0.208234892
1992,"4Vn","BiomassClupeids_s",-0.369495428
1993,"4Vn","BiomassClupeids_s",-0.406516368
1994,"4Vn","BiomassClupeids_s",0.802501756
1995,"4Vn","BiomassClupeids_s",-0.196948159
1996,"4Vn","BiomassClupeids_s",-0.157322134
1997,"4Vn","BiomassClupeids_s",-0.466369174
1998,"4Vn","BiomassClupeids_s",-0.449190514
1999,"4Vn","BiomassClupeids_s",0.627754737
2000,"4Vn","BiomassClupeids_s",-0.413810575
2001,"4Vn","BiomassClupeids_s",2.416807065
2002,"4Vn","BiomassClupeids_s",-0.378165423
2003,"4Vn","BiomassClupeids_s",-0.311817607
2004,"4Vn","BiomassClupeids_s",-0.439186165
2005,"4Vn","BiomassClupeids_s",-0.04424319
2006,"4Vn","BiomassClupeids_s",-0.01469291
2007,"4Vn","BiomassClupeids_s",-0.41407151
2008,"4Vn","BiomassClupeids_s",-0.420144875
2009,"4Vn","BiomassClupeids_s",-0.215322517
2010,"4Vn","BiomassClupeids_s",-0.405107376
2011,"4Vn","BiomassClupeids_s",-0.084025814
2012,"4Vn","BiomassClupeids_s",-0.302194322
2013,"4Vn","BiomassClupeids_s",0.435932305
2014,"4Vn","BiomassClupeids_s",-0.277923875
2015,"4Vn","BiomassClupeids_s",-0.270529796
1970,"4Vn","BiomassFinfish",365715951.5
1971,"4Vn","BiomassFinfish",263782539.1
1972,"4Vn","BiomassFinfish",186679743.6
1973,"4Vn","BiomassFinfish",541523903.6
1974,"4Vn","BiomassFinfish",93504215.17
1975,"4Vn","BiomassFinfish",84127242.97
1976,"4Vn","BiomassFinfish",61926735.91
1977,"4Vn","BiomassFinfish",85331760.58
1978,"4Vn","BiomassFinfish",63789795.93
1979,"4Vn","BiomassFinfish",88624724.42
1980,"4Vn","BiomassFinfish",81370602.45
1981,"4Vn","BiomassFinfish",110454797.9
1982,"4Vn","BiomassFinfish",86877224.27
1983,"4Vn","BiomassFinfish",101589843.3
1984,"4Vn","BiomassFinfish",163961060.3
1985,"4Vn","BiomassFinfish",154140068.2
1986,"4Vn","BiomassFinfish",107044053.4
1987,"4Vn","BiomassFinfish",1720547408
1988,"4Vn","BiomassFinfish",163272293.5
1989,"4Vn","BiomassFinfish",227881255.9
1990,"4Vn","BiomassFinfish",111043448.6
1991,"4Vn","BiomassFinfish",279191615
1992,"4Vn","BiomassFinfish",88237049.93
1993,"4Vn","BiomassFinfish",82519544.52
1994,"4Vn","BiomassFinfish",400809087.1
1995,"4Vn","BiomassFinfish",185724314.1
1996,"4Vn","BiomassFinfish",290204763.9
1997,"4Vn","BiomassFinfish",82496385.33
1998,"4Vn","BiomassFinfish",276909908
1999,"4Vn","BiomassFinfish",396237234.9
2000,"4Vn","BiomassFinfish",53964240.9
2001,"4Vn","BiomassFinfish",839831812.4
2002,"4Vn","BiomassFinfish",81468913.19
2003,"4Vn","BiomassFinfish",94296916.18
2004,"4Vn","BiomassFinfish",48014079.78
2005,"4Vn","BiomassFinfish",169743608.6
2006,"4Vn","BiomassFinfish",156749816.1
2007,"4Vn","BiomassFinfish",73957666.43
2008,"4Vn","BiomassFinfish",48138835.07
2009,"4Vn","BiomassFinfish",200605801.5
2010,"4Vn","BiomassFinfish",76355096.78
2011,"4Vn","BiomassFinfish",179864571.9
2012,"4Vn","BiomassFinfish",77075997.54
2013,"4Vn","BiomassFinfish",266749547.8
2014,"4Vn","BiomassFinfish",88223154.01
2015,"4Vn","BiomassFinfish",122070313.3
1970,"4Vn","BiomassFinfish_s",0.583682027
1971,"4Vn","BiomassFinfish_s",0.208786964
1972,"4Vn","BiomassFinfish_s",-0.074784994
1973,"4Vn","BiomassFinfish_s",1.230276031
1974,"4Vn","BiomassFinfish_s",-0.417469937
1975,"4Vn","BiomassFinfish_s",-0.451956966
1976,"4Vn","BiomassFinfish_s",-0.53360694
1977,"4Vn","BiomassFinfish_s",-0.44752694
1978,"4Vn","BiomassFinfish_s",-0.526754898
1979,"4Vn","BiomassFinfish_s",-0.435415936
1980,"4Vn","BiomassFinfish_s",-0.462095456
