"time","ID","variable","value"
1970,"SHELF","Biomass",3774675026
1971,"SHELF","Biomass",2926295255
1972,"SHELF","Biomass",3341847337
1973,"SHELF","Biomass",4245944373
1974,"SHELF","Biomass",2897676273
1975,"SHELF","Biomass",2908818058
1976,"SHELF","Biomass",2317468294
1977,"SHELF","Biomass",2970537833
1978,"SHELF","Biomass",3123114898
1979,"SHELF","Biomass",2512505035
1980,"SHELF","Biomass",2379706320
1981,"SHELF","Biomass",2426411875
1982,"SHELF","Biomass",2660856186
1983,"SHELF","Biomass",3121510063
1984,"SHELF","Biomass",3985112986
1985,"SHELF","Biomass",4296723064
1986,"SHELF","Biomass",4903147691
1987,"SHELF","Biomass",5587450094
1988,"SHELF","Biomass",4058634543
1989,"SHELF","Biomass",3124698040
1990,"SHELF","Biomass",2789325893
1991,"SHELF","Biomass",3767239667
1992,"SHELF","Biomass",2838067868
1993,"SHELF","Biomass",2436104863
1994,"SHELF","Biomass",5272493917
1995,"SHELF","Biomass",5016098080
1996,"SHELF","Biomass",3162185892
1997,"SHELF","Biomass",2753298088
1998,"SHELF","Biomass",4257234624
1999,"SHELF","Biomass",6962719436
2000,"SHELF","Biomass",4901133073
2001,"SHELF","Biomass",5279502298
2002,"SHELF","Biomass",4719320238
2003,"SHELF","Biomass",4753280278
2004,"SHELF","Biomass",5632555352
2005,"SHELF","Biomass",3740538013
2006,"SHELF","Biomass",4482561648
2007,"SHELF","Biomass",2759619105
2008,"SHELF","Biomass",3919954108
2009,"SHELF","Biomass",4304430663
2010,"SHELF","Biomass",5922240365
2011,"SHELF","Biomass",3753887103
2012,"SHELF","Biomass",4040074791
2013,"SHELF","Biomass",3971290883
2014,"SHELF","Biomass",3984354718
2015,"SHELF","Biomass",4676385682
1970,"SHELF","Biomass_s",-0.0803170595898334
1971,"SHELF","Biomass_s",-0.859250348003003
1972,"SHELF","Biomass_s",-0.477714435898848
1973,"SHELF","Biomass_s",0.352375226029312
1974,"SHELF","Biomass_s",-0.885526643740254
1975,"SHELF","Biomass_s",-0.875296900498483
1976,"SHELF","Biomass_s",-1.41824008705269
1977,"SHELF","Biomass_s",-0.818629369111916
1978,"SHELF","Biomass_s",-0.678541923560506
1979,"SHELF","Biomass_s",-1.23916862021486
1980,"SHELF","Biomass_s",-1.36109672754121
1981,"SHELF","Biomass_s",-1.31821438547354
1982,"SHELF","Biomass_s",-1.10296116473522
1983,"SHELF","Biomass_s",-0.680015390334045
1984,"SHELF","Biomass_s",0.112894916688841
1985,"SHELF","Biomass_s",0.398997286236292
1986,"SHELF","Biomass_s",0.955781341008197
1987,"SHELF","Biomass_s",1.58406827011488
1988,"SHELF","Biomass_s",0.180398162429558
1989,"SHELF","Biomass_s",-0.677088374046199
1990,"SHELF","Biomass_s",-0.985007702434918
1991,"SHELF","Biomass_s",-0.0871437766266809
1992,"SHELF","Biomass_s",-0.940255637182642
1993,"SHELF","Biomass_s",-1.3093148439292
1994,"SHELF","Biomass_s",1.29489370579509
1995,"SHELF","Biomass_s",1.05948586218933
1996,"SHELF","Biomass_s",-0.642669194296679
1997,"SHELF","Biomass_s",-1.018086351387
1998,"SHELF","Biomass_s",0.362741282174279
1999,"SHELF","Biomass_s",2.84676112022278
2000,"SHELF","Biomass_s",0.953931635160323
2001,"SHELF","Biomass_s",1.30132839630209
2002,"SHELF","Biomass_s",0.787001594766572
2003,"SHELF","Biomass_s",0.818181741366087
2004,"SHELF","Biomass_s",1.62548131193842
2005,"SHELF","Biomass_s",-0.111659692572879
2006,"SHELF","Biomass_s",0.569623536763861
2007,"SHELF","Biomass_s",-1.01228275879058
2008,"SHELF","Biomass_s",0.0530697996306778
2009,"SHELF","Biomass_s",0.406073958311775
2010,"SHELF","Biomass_s",1.89145335357978
2011,"SHELF","Biomass_s",-0.0994033294128202
2012,"SHELF","Biomass_s",0.163357670480472
2013,"SHELF","Biomass_s",0.100204260321722
2014,"SHELF","Biomass_s",0.112198718822121
2015,"SHELF","Biomass_s",0.747581566101557
1970,"SHELF","BiomassClupeids",1626374516
1971,"SHELF","BiomassClupeids",1329292935
1972,"SHELF","BiomassClupeids",1420616497
1973,"SHELF","BiomassClupeids",2003468400
1974,"SHELF","BiomassClupeids",1540517690
1975,"SHELF","BiomassClupeids",1297147133
1976,"SHELF","BiomassClupeids",1025013313
1977,"SHELF","BiomassClupeids",876648639.4
1978,"SHELF","BiomassClupeids",781014028.1
1979,"SHELF","BiomassClupeids",986354847.2
1980,"SHELF","BiomassClupeids",998311740.5
1981,"SHELF","BiomassClupeids",930624922.9
1982,"SHELF","BiomassClupeids",786369106.3
1983,"SHELF","BiomassClupeids",1067168143
1984,"SHELF","BiomassClupeids",1460709760
1985,"SHELF","BiomassClupeids",1801066172
1986,"SHELF","BiomassClupeids",2573528625
1987,"SHELF","BiomassClupeids",3697497352
1988,"SHELF","BiomassClupeids",1550791593
1989,"SHELF","BiomassClupeids",1561546150
1990,"SHELF","BiomassClupeids",1223436928
1991,"SHELF","BiomassClupeids",1389317126
1992,"SHELF","BiomassClupeids",977862463.5
1993,"SHELF","BiomassClupeids",612064320.2
1994,"SHELF","BiomassClupeids",2462410571
1995,"SHELF","BiomassClupeids",1977282695
1996,"SHELF","BiomassClupeids",1234555506
1997,"SHELF","BiomassClupeids",995142386.7
1998,"SHELF","BiomassClupeids",2457789197
1999,"SHELF","BiomassClupeids",4038391906
2000,"SHELF","BiomassClupeids",2314125719
2001,"SHELF","BiomassClupeids",2920762199
2002,"SHELF","BiomassClupeids",2280032240
2003,"SHELF","BiomassClupeids",2987988798
2004,"SHELF","BiomassClupeids",3814648800
